League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,birth_month,birth_date,height,height_cm,weight,weight_kg,nationality,high_school,draft_round,draft_pick,draft_team,position
NBA,2019 - 2020,Regular_Season,James Harden,HOU,68,"2,482.6","2,335",672,0.444,299,0.355,692,0.865,70,376,446,512,125,60,308,227,1989,Aug,"Aug 26, 1989",6-5,196,220,100,United States,Artesia High School,1,3,Oklahoma City Thunder,SG
NBA,2019 - 2020,Regular_Season,Damian Lillard,POR,66,"2,473.7","1,978",624,0.463,270,0.401,460,0.888,33,251,284,530,70,22,194,114,1990,Jul,"Jul 15, 1990",6-2,188,195,88,United States,Oakland High School,1,6,Portland Trail Blazers,G
NBA,2019 - 2020,Regular_Season,Devin Booker,PHX,70,"2,511.8","1,863",627,0.489,141,0.354,468,0.919,29,268,297,456,49,18,264,213,1996,Oct,"Oct 30, 1996",6-6,198,206,93,United States,Moss Point High School,1,13,Phoenix Suns,SG
NBA,2019 - 2020,Regular_Season,Giannis Antetokounmpo,MIL,63,"1,916.9","1,857",685,0.553,89,0.304,398,0.633,140,716,856,354,61,66,230,195,1994,Dec,"Dec 6, 1994",6-11,211,243,110,Greece / Nigeria,,1,15,Milwaukee Bucks,F
NBA,2019 - 2020,Regular_Season,Trae Young,ATL,60,"2,120.1","1,778",546,0.437,205,0.361,481,0.86,32,223,255,560,65,8,289,104,1998,Sep,"Sep 19, 1998",6-1,185,164,74,United States,Norman High School,1,5,Dallas Mavericks,PG
NBA,2019 - 2020,Regular_Season,Luka Doncic,DAL,61,"2,047.4","1,759",581,0.463,171,0.316,426,0.758,78,495,573,538,61,14,260,153,1999,Feb,"Feb 28, 1999",6-7,201,230,104,Slovenia,,1,3,Atlanta Hawks,SF
NBA,2019 - 2020,Regular_Season,Bradley Beal,WAS,57,"2,053.2","1,741",593,0.455,170,0.353,385,0.842,52,190,242,347,71,23,194,126,1993,Jun,"Jun 28, 1993",6-4,193,207,94,United States,Chaminade College Preparatory School,1,3,Washington Wizards,SG
NBA,2019 - 2020,Regular_Season,LeBron James,LAL,67,"2,316.3","1,698",643,0.493,148,0.348,264,0.693,66,459,525,684,78,36,261,118,1984,Dec,"Dec 30, 1984",6-9,206,250,113,United States,St. Vincent St. Mary High School,1,1,Cleveland Cavaliers,F
NBA,2019 - 2020,Regular_Season,Donovan Mitchell,UTA,69,"2,364.0","1,655",602,0.449,173,0.366,278,0.863,53,251,304,294,70,14,184,172,1996,Sep,"Sep 7, 1996",6-3,191,215,98,United States,Brewster Academy,1,13,Denver Nuggets,SG
NBA,2019 - 2020,Regular_Season,Anthony Davis,LAL,62,"2,131.4","1,618",551,0.503,72,0.33,444,0.846,142,435,577,200,91,143,154,156,1993,Mar,"Mar 11, 1993",6-10,208,253,115,United States,Perspectives Charter Academy,1,1,New Orleans Pelicans,PF
NBA,2019 - 2020,Regular_Season,C.J. McCollum,POR,70,"2,556.4","1,556",611,0.451,194,0.379,140,0.757,46,251,297,310,54,42,127,183,1991,Sep,"Sep 19, 1991",6-3,191,190,86,United States,Glen Oak High School,1,10,Portland Trail Blazers,G
NBA,2019 - 2020,Regular_Season,Russell Westbrook,HOU,57,"2,049.2","1,553",604,0.472,55,0.258,290,0.763,100,351,451,401,93,20,255,200,1988,Nov,"Nov 12, 1988",6-4,193,200,91,United States,Leuzinger High School,1,4,Seattle SuperSonics,G
NBA,2019 - 2020,Regular_Season,Jayson Tatum,BOS,66,"2,265.1","1,547",552,0.45,189,0.403,254,0.812,64,396,460,200,93,57,155,136,1998,Mar,"Mar 3, 1998",6-8,203,210,95,United States,Chaminade College Preparatory School,1,3,Boston Celtics,SF
NBA,2019 - 2020,Regular_Season,Kawhi Leonard,LAC,57,"1,848.2","1,543",532,0.47,123,0.378,356,0.886,54,348,402,280,103,33,149,113,1991,Jun,"Jun 29, 1991",6-7,201,225,102,United States,Martin Luther King High School,1,15,Indiana Pacers,F
